id,from_loc_id,to_loc_id,distance
301,4,5,11363.82203
302,4,6,9548.301138
303,4,7,10888.12647
304,4,8,4065.791133
305,4,9,14626.53577
306,4,10,4672.250365
307,4,11,5404.122152
308,4,12,3072.761833
309,4,13,7428.193116
310,4,14,10856.31011
311,4,15,13346.16349
312,4,16,11983.52929
313,4,17,13551.84846
314,4,18,10517.73988
315,4,19,16235.42856
316,4,20,11265.37023
317,4,21,12745.64295
318,4,22,13762.47067
319,4,23,7214.241693
320,4,24,13525.78881
321,4,25,7334.830679
322,4,26,11010.7193
323,4,27,5310.503756
324,4,28,7564.578718
325,4,29,10159.21508
326,4,30,3818.370756
327,4,31,11297.8618
328,4,32,9067.519071
329,4,33,13706.10133
330,4,34,14017.26318
331,4,35,7018.234804
332,4,36,6783.772811
333,4,37,14342.38173
334,4,38,17097.18406
335,4,39,8743.475373
336,4,40,5202.143043
337,4,41,15246.5213
338,4,42,3231.662355
339,4,43,10061.66416
340,4,44,5697.240757
341,4,45,4434.051388
342,4,46,6137.306328
343,4,47,3264.951179
344,4,48,17165.73687
345,4,49,10245.78102
346,4,50,17006.25114
347,4,51,14434.27084
348,4,52,11959.48659
349,4,53,6084.917308
350,4,54,17021.41606
351,4,55,12827.27129
352,4,56,10534.42739
353,4,57,6022.319917
354,4,58,13757.5614
355,4,59,18442.10849
356,4,60,15080.99288
357,4,61,11783.98442
358,4,62,13492.31841
359,4,63,11488.06388
360,4,64,12080.25157
361,4,65,9551.667517
362,4,66,17463.16502
363,4,67,7422.959734
364,4,68,11591.79986
365,4,69,14801.26168
366,4,70,2082.434498
367,4,71,12411.22031
368,4,72,5096.025806
369,4,73,6353.141286
370,4,74,6356.693391
371,4,75,7181.397416
372,4,76,7474.303287
373,4,77,15820.05222
374,4,78,373.7709251
375,4,79,14476.24884
376,4,80,15217.21021
377,4,81,8849.456955
378,4,82,15969.20693
379,4,83,13618.08074
380,4,84,6297.234091
381,4,85,15235.13164
382,4,86,14494.66687
383,4,87,8664.925586
384,4,88,6677.17786
385,4,89,14470.27225
386,4,90,15813.49406
387,4,91,14625.83641
388,4,92,8939.826305
389,4,93,8312.140579
390,4,94,8381.307917
391,4,95,13812.90078
392,4,96,8303.458575
393,4,97,6197.252555
394,4,98,17394.70504
395,4,99,5710.153456
396,4,100,10877.35432
397,5,1,8125.517451
398,5,2,8836.214566
399,5,3,9516.827814
400,5,4,11363.82203
701,8,9,17985.09383
702,8,10,6134.830867
703,8,11,9034.742932
704,8,12,6984.462487
705,8,13,3461.904266
706,8,14,13709.6726
707,8,15,17406.52123
708,8,16,13500.80776
709,8,17,10281.34023
710,8,18,14227.41662
711,8,19,12194.47175
712,8,20,7204.364464
713,8,21,16801.45883
714,8,22,17805.79113
715,8,23,3169.462882
716,8,24,17451.4322
717,8,25,7893.198632
718,8,26,7017.548768
719,8,27,5955.543176
720,8,28,3834.420065
721,8,29,6312.724515
722,8,30,6475.50344
723,8,31,9340.630604
724,8,32,12720.20125
725,8,33,11177.14815
726,8,34,17917.17995
727,8,35,2952.489709
728,8,36,2918.966167
729,8,37,10380.44264
730,8,38,14041.47664
731,8,39,8894.791444
732,8,40,4606.409476
733,8,41,19206.9031
734,8,42,5715.966557
735,8,43,12412.23975
736,8,44,1676.259398
737,8,45,8493.052603
738,8,46,9676.038487
739,8,47,7143.938372
740,8,48,18279.20286
741,8,49,10769.74511
