visitId,visitNumber,visitStartTime,date,fullVisitorId,total_visits,total_hits,total_pageviews,total_bounces,total_session_quality,total_revenue,source,medium,campaign,keyword,device,browser,operatingSystem,country,city,hit_number,page_path,page_title,is_entrance,is_exit,time,action_type,action_step,transaction_id,event_category,event_action,event_label,product_names,product_skus,product_categories
1501591568,1,1501591568,2017-08-01,3418334011779872055,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,Greece,"not available in demo dataset",1,/google+redesign/bags/google+zipper+front+sports+bag.axd,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501589647,2,1501589647,2017-08-01,2474397855041322408,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,India,Mumbai,1,/google+redesign/shop+by+brand/youtube,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501616621,1,1501616621,2017-08-01,5870462820713110108,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,"United Kingdom","not available in demo dataset",1,/google+redesign/shop+by+brand/youtube,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501601200,1,1501601200,2017-08-01,9397809171349480379,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Firefox,Windows,"United States",Dallas,1,/google+redesign/shop+by+brand/youtube,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501615525,1,1501615525,2017-08-01,6089902943184578335,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,"United States","not available in demo dataset",1,/google+redesign/shop+by+brand/youtube,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501610896,1,1501610896,2017-08-01,9774853178934539216,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,"United States","New York",1,"/google redesign/apparel/mens/mens t shirts","Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501589650,1,1501589650,2017-08-01,1828670115323960984,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,India,Mumbai,1,/google+redesign/apparel/mens/mens+t+shirts,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501573710,1,1501573710,2017-08-01,9593864805477802170,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Windows,India,Pune,1,/google+redesign/apparel/mens/mens+t+shirts,"Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501644116,1,1501644116,2017-08-01,3856839647156716513,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Macintosh,"United States","not available in demo dataset",1,"/google redesign/apparel/mens/mens t shirts","Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1501574187,1,1501574187,2017-08-01,6227674818184281287,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,desktop,Chrome,Macintosh,"United States","San Jose",1,"/google redesign/apparel/mens/mens t shirts","Page Unavailable",true,true,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
